Date,Class,Study,Drive,Quant. Value of Water_Consumed_Daily 1L- 4L,"Qual. Value of Water_Consumed_Daily (Hydrated(>=4), normal(>=3), dehydrated (<3))",Walk,Work,Session
9/6/2024,Yes,4,Yes,4,Hydrated,270,4,F24
9/7/2024,No,10,No,4,Hydrated,150,0,F24
9/8/2024,No,10,No,3,Normal,115,0,F24
9/9/2024,Yes,2,Yes,4,Hydrated,400,4,F24
9/10/2024,Yes,4,Yes,3,Normal,189,4,F24
9/11/2024,Yes,6,Yes,3,Normal,120,4,F24
9/12/2024,Yes,10,Yes,1,Dehydrated,80,4,F24
9/13/2024,Yes,3,No,4,Hydrated,300,0,F24
9/14/2024,No,5,No,4,Hydrated,450,0,F24
9/15/2024,No,10,Yes,1,Dehydrated,70,4,F24
9/16/2024,Yes,6,Yes,2,Dehydrated,100,4,F24
9/17/2024,Yes,6,Yes,2,Dehydrated,120,4,F24
9/18/2024,Yes,3,Yes,4,Hydrated,300,4,F24
9/19/2024,Yes,10,No,1,Dehydrated,30,0,F24
9/20/2024,Yes,10,No,1,Dehydrated,20,0,F24
9/21/2024,No,5,Yes,2,Dehydrated,100,4,F24
9/22/2024,No,7,Yes,2,Dehydrated,150,4,F24
9/23/2024,Yes,8,Yes,1,Dehydrated,40,4,F24
9/24/2024,Yes,8,Yes,1,Dehydrated,50,4,F24
9/25/2024,Yes,7,Yes,1,Dehydrated,55,4,F24
9/26/2024,Yes,9,Yes,1,Dehydrated,30,4,F24
9/27/2024,Yes,8,Yes,2,Dehydrated,45,4,F24
9/28/2024,No,11,No,2,Dehydrated,80,0,F24
9/29/2024,No,12,Yes,1,Dehydrated,50,0,F24
9/30/2024,Yes,10,Yes,2,Dehydrated,65,4,F24
10/1/2024,Yes,10,Yes,2,Dehydrated,70,4,F24
10/2/2024,Yes,10,Yes,1,Dehydrated,65,4,F24
10/3/2024,Yes,8,Yes,3,Normal,90,4,F24
10/4/2024,Yes,10,Yes,2,Dehydrated,50,4,F24
10/5/2024,No,11,Yes,2,Dehydrated,45,0,F24
10/6/2024,No,7,Yes,3,Normal,93,0,F24
10/7/2024,Yes,12,Yes,1,Dehydrated,30,4,F24
10/8/2024,Yes,10,Yes,2,Dehydrated,59,4,F24
10/9/2024,Yes,10,Yes,1,Dehydrated,72,4,F24
10/10/2024,Yes,8,Yes,2,Dehydrated,90,4,F24
10/11/2024,Yes,10,Yes,1,Dehydrated,56,4,F24
10/12/2024,No,4,No,4,Hydrated,302,0,F24
10/13/2024,No,5,No,3,Normal,250,0,F24
10/14/2024,Yes,10,Yes,1,Dehydrated,56,4,F24
10/15/2024,Yes,11,Yes,2,Dehydrated,40,4,F24
10/16/2024,Yes,9,Yes,2,Dehydrated,83,4,F24
10/17/2024,Yes,10,Yes,1,Dehydrated,70,4,F24
10/18/2024,Yes,7,Yes,3,Normal,104,4,F24
10/19/2024,No,6,Yes,1,Dehydrated,40,0,F24
10/20/2024,No,6,Yes,2,Dehydrated,30,0,F24
10/21/2024,No,3,Yes,3,Normal,178,8,F24
10/22/2024,No,2,Yes,4,Hydrated,194,8,F24
10/23/2024,No,1,Yes,4,Hydrated,208,8,F24
10/24/2024,No,6,Yes,3,Normal,203,8,F24
10/25/2024,No,2,Yes,4,Hydrated,256,8,F24
10/26/2024,No,8,Yes,2,Dehydrated,83,0,F24
10/27/2024,No,9,No,2,Dehydrated,90,0,F24
10/28/2024,Yes,7,Yes,3,Normal,85,4,F24
10/29/2024,Yes,6,Yes,2,Dehydrated,90,4,F24
10/30/2024,Yes,8,Yes,4,Hydrated,194,4,F24
10/31/2024,Yes,5,Yes,3,Normal,133,4,F24
11/1/2024,Yes,9,Yes,3,Normal,101,4,F24
11/2/2024,No,8,No,2,Dehydrated,30,0,F24
11/3/2024,No,5,No,3,Normal,15,0,F24
11/4/2024,Yes,4,Yes,3,Normal,96,4,F24
11/5/2024,Yes,3,Yes,4,Hydrated,101,4,F24
11/6/2024,Yes,5,Yes,4,Hydrated,180,4,F24
11/7/2024,Yes,7,Yes,2,Dehydrated,145,4,F24
11/8/2024,Yes,4,Yes,3,Normal,129,4,F24
11/9/2024,No,8,No,1,Dehydrated,20,0,F24
11/10/2024,No,10,Yes,4,Hydrated,15,0,F24
11/11/2024,Yes,3,Yes,3,Normal,230,4,F24
11/12/2024,Yes,4,Yes,2,Dehydrated,198,4,F24
11/13/2024,Yes,7,Yes,4,Hydrated,167,4,F24
11/14/2024,Yes,5,Yes,3,Normal,176,4,F24
11/15/2024,Yes,6,Yes,4,Hydrated,192,4,F24
11/16/2024,No,10,No,3,Normal,35,0,F24
11/17/2024,No,10,No,1,Dehydrated,29,0,F24
11/18/2024,Yes,4,Yes,4,Hydrated,145,5,F24
11/19/2024,Yes,5,Yes,4,Hydrated,203,5,F24
11/20/2024,Yes,3,Yes,3,Normal,111,5,F24
11/21/2024,Yes,6,Yes,4,Hydrated,167,5,F24
11/22/2024,Yes,5,Yes,2,Dehydrated,181,4,F24
11/23/2024,No,8,Yes,3,Normal,145,0,F24
11/24/2024,No,0,No,4,Hydrated,201,0,F24
11/25/2024,Yes,10,Yes,2,Dehydrated,76,5,F24
11/26/2024,Yes,9,Yes,1,Dehydrated,87,5,F24
11/27/2024,Yes,6,Yes,3,Normal,98,5,F24
11/28/2024,Yes,12,Yes,2,Dehydrated,78,5,F24
11/29/2024,Yes,10,Yes,3,Normal,98,4,F24
11/30/2024,No,7,Yes,2,Dehydrated,78,0,F24
12/1/2024,No,4,Yes,3,Normal,69,0,F24
12/2/2024,Yes,11,Yes,4,Hydrated,90,5,F24
12/3/2024,Yes,8,Yes,3,Normal,101,5,F24
12/4/2024,Yes,10,Yes,3,Normal,132,5,F24
12/5/2024,Yes,8,Yes,4,Hydrated,75,5,F24
12/6/2024,Yes,8,Yes,3,Normal,69,0,F24
12/7/2024,No,7,Yes,2,Dehydrated,60,0,F24
12/8/2024,No,9,No,3,Normal,50,0,F24
12/9/2024,Yes,11,Yes,2,Dehydrated,43,5,F24
12/10/2024,Yes,6,Yes,1,Dehydrated,89,5,F24
12/11/2024,Yes,9,Yes,4,Hydrated,56,5,F24
12/12/2024,Yes,4,Yes,3,Normal,102,5,F24
12/13/2024,Yes,6,Yes,2,Dehydrated,96,0,F24
12/14/2024,No,7,No,1,Dehydrated,87,0,F24
12/15/2024,No,0,No,1,Dehydrated,120,0,F24
12/16/2024,No,2,Yes,3,Normal,104,6,F24
12/17/2024,No,3,Yes,1,Dehydrated,121,6,F24
12/18/2024,No,1,Yes,2,Dehydrated,99,6,F24
12/19/2024,No,0,Yes,3,Normal,102,6,F24
12/20/2024,No,0,Yes,3,Normal,105,6,F24
12/21/2024,No,0,Yes,1,Dehydrated,112,6,F24
12/22/2024,No,0,Yes,2,Dehydrated,102,0,F24
12/23/2024,No,0,Yes,2,Dehydrated,121,6,F24
12/24/2024,No,0,Yes,4,Hydrated,98,6,F24
12/25/2024,No,0,Yes,3,Normal,45,6,F24
12/26/2024,No,0,Yes,1,Dehydrated,76,6,F24
12/27/2024,No,0,Yes,1,Dehydrated,98,6,F24
12/28/2024,No,0,No,1,Dehydrated,34,6,F24
12/29/2024,No,0,Yes,1,Dehydrated,65,0,F24
12/30/2024,No,0,Yes,1,Dehydrated,88,6,F24
12/31/2024,No,0,Yes,2,Dehydrated,78,6,F24
1/1/2025,No,0,Yes,3,Normal,96,6,W25
1/2/2025,No,0,Yes,4,Hydrated,101,6,W25
1/3/2025,No,0,Yes,3,Normal,95,6,W25
1/4/2025,No,3,Yes,1,Dehydrated,99,6,W25
1/5/2025,No,2,Yes,1,Dehydrated,23,0,W25
1/6/2025,No,1,Yes,1,Dehydrated,15,0,W25
1/7/2025,Yes,4,Yes,2,Dehydrated,78,4,W25
1/8/2025,Yes,5,Yes,3,Normal,56,4,W25
1/9/2025,Yes,4,Yes,3,Normal,87,4,W25
1/10/2025,Yes,6,No,2,Dehydrated,90,4,W25
1/11/2025,No,3,No,4,Hydrated,67,4,W25
1/12/2025,No,5,Yes,1,Dehydrated,98,4,W25
1/13/2025,Yes,4,Yes,1,Dehydrated,111,0,W25
1/14/2025,Yes,4,Yes,3,Normal,45,4,W25
1/15/2025,Yes,6,Yes,2,Dehydrated,78,4,W25
1/16/2025,Yes,3,Yes,3,Normal,98,4,W25
1/17/2025,Yes,3,Yes,1,Dehydrated,45,4,W25
1/18/2025,No,1,Yes,1,Dehydrated,100,4,W25
1/19/2025,No,0,No,1,Dehydrated,59,4,W25
1/20/2025,Yes,7,Yes,2,Dehydrated,40,0,W25
1/21/2025,Yes,6,Yes,4,Hydrated,78,4,W25
1/22/2025,Yes,9,Yes,1,Dehydrated,83,4,W25
1/23/2025,Yes,2,Yes,1,Dehydrated,92,4,W25
1/24/2025,Yes,4,Yes,3,Normal,79,4,W25
1/25/2025,No,0,Yes,3,Normal,45,4,W25
1/26/2025,No,0,No,3,Normal,56,4,W25
1/27/2025,Yes,5,Yes,2,Dehydrated,88,0,W25
1/28/2025,Yes,3,No,2,Dehydrated,102,4,W25
1/29/2025,Yes,0,Yes,2,Dehydrated,48,4,W25
1/30/2025,Yes,4,Yes,1,Dehydrated,67,4,W25
1/31/2025,Yes,4,Yes,1,Dehydrated,98,4,W25
2/1/2025,No,6,Yes,2,Dehydrated,89,4,W25
2/2/2025,No,0,No,2,Dehydrated,21,0,W25
2/3/2025,Yes,7,Yes,3,Normal,67,4,W25
2/4/2025,Yes,4,Yes,2,Dehydrated,101,4,W25
2/5/2025,Yes,3,Yes,3,Normal,43,4,W25
2/6/2025,Yes,9,Yes,1,Dehydrated,52,4,W25
2/7/2025,Yes,8,Yes,4,Hydrated,90,4,W25
2/8/2025,No,8,Yes,2,Dehydrated,35,4,W25
2/9/2025,No,0,No,4,Hydrated,11,0,W25
2/10/2025,Yes,0,Yes,3,Normal,123,4,W25
2/11/2025,Yes,6,Yes,2,Dehydrated,66,4,W25
2/12/2025,Yes,9,Yes,1,Dehydrated,52,4,W25
2/13/2025,Yes,4,No,2,Dehydrated,86,4,W26
2/14/2025,Yes,2,Yes,2,Dehydrated,109,4,W27
2/15/2025,No,8,Yes,3,Normal,45,0,W28
2/16/2025,No,7,Yes,1,Dehydrated,89,0,W29
2/17/2025,Yes,5,Yes,1,Dehydrated,98,4,W30
2/18/2025,Yes,6,Yes,2,Dehydrated,78,4,W31
2/19/2025,Yes,3,Yes,2,Dehydrated,67,4,W32
2/20/2025,Yes,4,No,1,Dehydrated,78,4,W33
2/21/2025,Yes,2,Yes,2,Dehydrated,56,4,W34
2/22/2025,No,7,Yes,4,Hydrated,23,0,W35
2/23/2025,No,6,Yes,1,Dehydrated,15,0,W36
2/24/2025,Yes,0,No,2,Dehydrated,78,4,W37
2/25/2025,Yes,3,Yes,1,Dehydrated,56,4,W38
2/26/2025,Yes,4,Yes,2,Dehydrated,78,4,W39
2/27/2025,Yes,3,Yes,1,Dehydrated,56,4,W40
2/28/2025,Yes,2,Yes,1,Dehydrated,56,4,W41
3/1/2025,No,9,Yes,1,Dehydrated,56,0,W42
3/2/2025,No,6,Yes,1,Dehydrated,56,0,W43
3/3/2025,Yes,5,No,2,Dehydrated,78,4,W44
3/4/2025,Yes,5,Yes,3,Normal,103,4,W45
3/5/2025,Yes,3,Yes,2,Dehydrated,78,4,W46
3/6/2025,Yes,4,Yes,4,Hydrated,126,4,W47
3/7/2025,Yes,1,No,3,Normal,103,4,W48
3/8/2025,No,3,Yes,2,Dehydrated,78,0,W49
3/9/2025,No,9,Yes,3,Normal,103,0,W50
3/10/2025,Yes,3,Yes,4,Hydrated,126,4,W51
3/11/2025,Yes,4,Yes,2,Dehydrated,78,4,W52
3/12/2025,Yes,7,Yes,1,Dehydrated,56,4,W53
3/13/2025,Yes,4,Yes,1,Dehydrated,56,4,W54
3/14/2025,Yes,8,No,2,Dehydrated,78,4,W55
3/15/2025,No,3,Yes,3,Normal,103,0,W56
3/16/2025,No,0,Yes,2,Dehydrated,78,0,W57
3/17/2025,Yes,5,Yes,1,Dehydrated,56,4,W58
3/18/2025,Yes,3,No,1,Dehydrated,56,4,W59
3/19/2025,Yes,2,Yes,1,Dehydrated,56,4,W60
3/20/2025,Yes,5,Yes,1,Dehydrated,56,4,W61
3/21/2025,Yes,3,Yes,2,Dehydrated,78,4,W62
3/22/2025,No,5,Yes,2,Dehydrated,78,0,W63
3/23/2025,No,1,Yes,3,Normal,103,0,W64
3/24/2025,Yes,4,Yes,2,Dehydrated,78,4,W65
3/25/2025,Yes,3,No,3,Normal,103,4,W66
3/26/2025,Yes,6,Yes,1,Dehydrated,56,4,W67
3/27/2025,Yes,9,Yes,2,Dehydrated,78,4,W68
3/28/2025,Yes,3,Yes,1,Dehydrated,56,4,W69
3/29/2025,No,2,No,2,Dehydrated,78,0,W70
3/30/2025,No,5,Yes,2,Dehydrated,78,0,W71
3/31/2025,Yes,3,Yes,1,Dehydrated,56,4,W72
4/1/2025,Yes,7,Yes,1,Dehydrated,56,4,W73
4/2/2025,Yes,4,Yes,2,Dehydrated,78,4,W74
4/3/2025,Yes,7,Yes,1,Dehydrated,56,4,W75
4/4/2025,Yes,3,Yes,2,Dehydrated,78,4,W76
4/5/2025,No,2,No,1,Dehydrated,56,0,W77
4/6/2025,No,0,Yes,1,Dehydrated,56,0,W78
4/7/2025,Yes,4,Yes,1,Dehydrated,56,4,W79
4/8/2025,Yes,3,Yes,2,Dehydrated,78,4,W80
4/9/2025,Yes,4,No,2,Dehydrated,78,4,W81
4/10/2025,Yes,1,Yes,2,Dehydrated,78,4,W82
4/11/2025,Yes,2,Yes,2,Dehydrated,78,4,W83
4/12/2025,No,10,Yes,3,Normal,103,0,W84
